,Android_apps_2023,iOS_apps_2023,Android_apps_2024,iOS_apps_2024
Swift,3 (0.03 %),256 (2.48 %),4 (0.05 %),263 (2.85 %)
Podfile,0 (0.00 %),92 (0.89 %),0 (0.00 %),78 (0.85 %)
Podfile.lock,0 (0.00 %),24 (0.23 %),0 (0.00 %),19 (0.21 %)
*.podspec,0 (0.00 %),110 (1.06 %),0 (0.00 %),100 (1.09 %)
Cartfile,0 (0.00 %),17 (0.16 %),0 (0.00 %),9 (0.10 %)
Cartfile.resolved,0 (0.00 %),4 (0.04 %),0 (0.00 %),2 (0.02 %)
Package.swift,3 (0.03 %),28 (0.27 %),4 (0.05 %),52 (0.56 %)
Package.resolved,0 (0.00 %),7 (0.07 %),0 (0.00 %),24 (0.26 %)
Web,121 (1.17 %),336 (3.25 %),117 (1.34 %),234 (2.54 %)
package.json,107 (1.04 %),320 (3.10 %),104 (1.20 %),222 (2.41 %)
package-lock.json,21 (0.20 %),25 (0.24 %),16 (0.18 %),24 (0.26 %)
yarn.lock,12 (0.12 %),9 (0.09 %),11 (0.13 %),10 (0.11 %)
bower.json,50 (0.48 %),55 (0.53 %),40 (0.46 %),43 (0.47 %)
.bower.json,0 (0.00 %),6 (0.06 %),0 (0.00 %),8 (0.09 %)
composer.json,10 (0.10 %),8 (0.08 %),10 (0.11 %),10 (0.11 %)
Python,3 (0.03 %),4 (0.04 %),2 (0.02 %),7 (0.08 %)
requirements.txt,3 (0.03 %),4 (0.04 %),2 (0.02 %),4 (0.04 %)
setup.py,1 (0.01 %),2 (0.02 %),1 (0.01 %),2 (0.02 %)
Java,233 (2.26 %),7 (0.07 %),172 (1.98 %),6 (0.07 %)
pom.xml,229 (2.22 %),1 (0.01 %),169 (1.94 %),0 (0.00 %)
build.gradle,4 (0.04 %),6 (0.06 %),2 (0.02 %),6 (0.07 %)
gradle.lockfile,1 (0.01 %),0 (0.00 %),1 (0.01 %),0 (0.00 %)
C/C++,7 (0.07 %),91 (0.88 %),5 (0.06 %),69 (0.75 %)
CMakeLists.txt,3 (0.03 %),56 (0.54 %),2 (0.02 %),43 (0.47 %)
*.cmake,1 (0.01 %),8 (0.08 %),1 (0.01 %),8 (0.09 %)
packages.config,1 (0.01 %),22 (0.21 %),0 (0.00 %),13 (0.14 %)
*.csproj,2 (0.02 %),3 (0.03 %),2 (0.02 %),1 (0.01 %)
configure.ac,0 (0.00 %),1 (0.01 %),0 (0.00 %),1 (0.01 %)
opensslv.h,0 (0.00 %),7 (0.07 %),0 (0.00 %),9 (0.10 %)
Go,0 (0.00 %),3 (0.03 %),0 (0.00 %),3 (0.03 %)
go.mod,0 (0.00 %),3 (0.03 %),0 (0.00 %),3 (0.03 %)
go.sum,0 (0.00 %),3 (0.03 %),0 (0.00 %),3 (0.03 %)
Ruby,6 (0.06 %),13 (0.13 %),5 (0.06 %),12 (0.13 %)
Gemfile,5 (0.05 %),10 (0.10 %),5 (0.06 %),11 (0.12 %)
Gemfile.lock,3 (0.03 %),5 (0.05 %),3 (0.03 %),4 (0.04 %)
*.gemspec,1 (0.01 %),1 (0.01 %),1 (0.01 %),1 (0.01 %)
Rakefile,2 (0.02 %),2 (0.02 %),1 (0.01 %),1 (0.01 %)
Dart,12 (0.12 %),9 (0.09 %),16 (0.18 %),18 (0.20 %)
pubspec.yaml,9 (0.09 %),8 (0.08 %),12 (0.14 %),13 (0.14 %)
pubspec.yaml.dist,2 (0.02 %),1 (0.01 %),2 (0.02 %),2 (0.02 %)
pubspec.lock,1 (0.01 %),0 (0.00 %),2 (0.02 %),3 (0.03 %)
Total,372 (3.60 %),697 (6.75 %),310 (3.56 %),588 (6.38 %)
